regulator	target	bootstraps
HOXA4	G0S2	12.0
REL	SLC2A4	-12.0
YBX1	ARL15	-12.0
HOXD10	CFAP69	12.0
IRF9	TNFSF4	12.0
GATA5	DCLK1	12.0
POU5F1B	HSH2D	12.0
REL	ST20	12.0
PROX1	SLC2A4	-12.0
HNF1A	CTU1	-12.0
NR4A2	TBCB	12.0
MECP2	FKBPL	-12.0
MLX	DSC2	-12.0
TCF3	ARL9	-12.0
IRF9	OAS2	12.0
MAF	ANK2	12.0
ONECUT2	SPIRE2	-12.0
FOXC2	INHBE	-12.0
MYCN	ATG9B	12.0
HINFP	PGK1	-12.0
GATA4	SLC16A7	12.0
ARNTL	TRIM65	12.0
MYCN	STIP1	12.0
CTCF	SPOCD1	-12.0
ELK4	ITLN2	12.0
PRDM1	BRI3BP	-12.0
HOXD4	DHCR7	-12.0
ETV7	KLHL17	12.0
POU5F1B	SKA3	12.0
TFAP2A	ZNF707	12.0
KLF12	PODN	-12.0
SP3	C14orf132	12.0
STAT1	HPD	12.0
TP53	ZSWIM5	12.0
NR4A2	FAM78B	12.0
GATA4	TSLP	12.0
GATA2	ARHGAP24	12.0
HOXB8	CNFN	12.0
GATA3	EFEMP1	12.0
GATA2	ESR1	12.0
TCFL5	MCM3	12.0
IRF2	GJB2	-12.0
YBX1	RELB	12.0
PROX1	TNFSF4	12.0
ONECUT1	CDKN2D	-12.0
IRF9	OAS3	12.0
ARNTL	APOO	12.0
NR4A2	SIDT1	-12.0
BATF3	RPS6KA5	-12.0
ELF1	RASSF6	12.0
ONECUT1	TMSB10	-12.0
GATA5	AGR2	12.0
CTCF	TFR2	-12.0
LHX1	PCCA	12.0
TCF3	MAMDC2	12.0
CDX2	RASSF6	12.0
SIM1	ENO1	12.0
E2F3	GAS2L2	-12.0
E2F6	ULBP1	12.0
CREB3L2	EFNA1	12.0
BHLHE40	CCDC8	12.0
SP4	ITGB7	-12.0
MYPOP	BCL2L12	12.0
ZEB1	FAM83H	12.0
NR4A2	JTB	12.0
REL	ZNF214	-12.0
ZSCAN4	GGCT	-12.0
SOX6	ACADS	-12.0
TCF3	MAGOHB	-12.0
CTCF	SOX12	-12.0
NR2F1	SLC2A1	-12.0
CTCF	GLT8D2	12.0
ZIC2	TGFBI	12.0
SOX10	CASQ2	12.0
ARNTL	TBC1D9	-12.0
NFE2L2	CLIC3	12.0
NR2F1	MEOX1	12.0
GATA5	CD36	12.0
CTCF	APOO	-12.0
RUNX2	SSTR1	12.0
LHX1	C3orf18	12.0
TFAP2A	SCRIB	12.0
HLF	CYP4B1	12.0
GATA3	MAPK10	12.0
SOX10	HLA-DOB	-12.0
ARNTL	HCN1	-12.0
HOXC6	GLRB	12.0
DLX3	PDE1A	12.0
POU5F1B	UBASH3B	12.0
NR2F1	CLDND2	12.0
POU5F1B	ZBED2	12.0
YBX1	MFAP4	-12.0
KLF5	SOWAHD	12.0
BATF3	RNF39	-12.0
NR4A2	TIMM44	12.0
NR2F1	SGCA	12.0
SOX17	PNMA3	12.0
THRB	SPTBN2	12.0
GATA2	CORO2B	12.0
YBX1	ST3GAL4	12.0
TP53	IGDCC3	12.0
FOXC2	IL33	12.0
E2F6	DNMT1	12.0
CDX2	TFAP2B	12.0
TP63	SLC7A10	-12.0
MZF1	PPP1R35	-12.0
E2F6	TET3	12.0
NFE2L1	HS3ST3A1	12.0
NR2F1	PAICS	-12.0
MAF	IL12RB2	-12.0
SMAD1	PRDM16	12.0
MYBL2	CRABP2	12.0
MYPOP	HOXA6	-12.0
FOXP1	RAD21	12.0
SOX17	ACAN	12.0
HOXD4	SOX5	12.0
PPARG	RASGRP1	-12.0
RUNX2	DACT2	12.0
SOX6	MBOAT2	12.0
SP4	C14orf132	12.0
CTCF	TRIM59	-12.0
GATA4	PARK2	12.0
ONECUT1	ZC3H12B	12.0
YBX1	CDK16	12.0
GATA4	EYS	12.0
CTCF	CYP4X1	12.0
KLF15	NPHS1	12.0
PRDM1	ARRDC3	12.0
TCFL5	ONECUT2	12.0
BACH1	AFF1	12.0
STAT2	OAS3	12.0
HNF1B	CSMD2	12.0
SMAD1	SCUBE1	12.0
GATA4	EBF3	12.0
GATA3	ESR1	12.0
MYPOP	DACH1	-12.0
MECP2	PCDHGA6	12.0
ZEB1	EFNA3	12.0
ZNF148	CILP2	12.0
GATA4	PDZD2	12.0
ELF5	GSDMC	12.0
NFE2L1	YARS	12.0
MNT	MRPL15	-12.0
ZIC2	XK	-12.0
MAF	CDC123	-12.0
YBX1	FAM47E	-12.0
IRF2	CHST6	-12.0
POU5F1B	AMER1	12.0
NR2E3	CDH2	12.0
SOX6	SIM2	12.0
PPARG	CALCOCO1	12.0
GATA2	GPC3	12.0
ZIC2	P4HA3	12.0
MAFG	NCAPG2	12.0
HEY2	ACSM3	-12.0
LHX1	PTPRQ	12.0
SP3	LRRK2	12.0
GATA2	HIST1H2BO	-12.0
GATA2	CDH13	12.0
GATA5	PDIA4	-12.0
MAF	CPB1	12.0
SP1	ZYG11A	-12.0
CTCF	EDN2	-12.0
GATA4	SLIT3	12.0
BHLHE40	MTURN	12.0
GLI2	SUSD4	12.0
STAT5A	CCNI2	12.0
SP4	TFRC	-12.0
NFE2L1	CALU	12.0
CEBPG	HTR6	-12.0
CTCF	CKAP4	-12.0
HOXD4	SRC	-12.0
E2F3	CCDC168	12.0
MYPOP	ROBO4	-12.0
SRF	SGCA	12.0
YBX1	NECAB1	-12.0
RARA	SLC12A1	12.0
EHF	CCL7	12.0
POU5F1B	RAD54B	12.0
CTCF	PNPLA3	-12.0
GATA3	PTPRM	12.0
TCF4	PRKX	12.0
MAF	ST8SIA6	12.0
SOX17	SLC12A8	12.0
TP53	PLPPR1	12.0
ZNF35	TMEM45A	-12.0
SP4	TRIM69	-12.0
LHX1	AFF1	12.0
ZIC2	NUDT12	-12.0
GATA2	ROPN1	-12.0
NFATC3	PLA2G2F	-12.0
ZSCAN16	MYBL1	12.0
TBX1	KHDRBS3	-12.0
RUNX1	CSMD2	12.0
DLX3	CLDN11	12.0
ZIC2	C3orf18	12.0
SP4	LONRF2	12.0
CTCF	HES6	-12.0
CTCF	ORM1	-12.0
ZNF263	KLK6	12.0
PPARD	SPEF2	12.0
ALX1	FAM71E1	-12.0
ELK1	TSPAN1	-12.0
MYPOP	EGR2	-12.0
NR1H2	PSMB9	12.0
MYPOP	SMC4	12.0
NPAS2	IGF2BP1	12.0
SP4	KLHL29	12.0
MAX	AQP9	-12.0
JUN	TTYH1	12.0
MAX	C8orf46	-12.0
SP4	TP53BP2	-12.0
EHF	FAM83A	12.0
HIC1	SMIM5	12.0
MAX	EFCAB1	12.0
LHX1	ADAM19	-12.0
POU5F1B	PRAME	12.0
PAX9	MUC16	12.0
NFE2	RAMP1	-12.0
RFX7	KCNK1	-12.0
GATA2	DCUN1D5	-12.0
PGR	AQP5	12.0
FOXQ1	NEDD9	-12.0
LHX1	FMO2	12.0
SP1	TPPP3	12.0
YBX1	C8orf34	-12.0
GATA2	IGF2BP3	-12.0
SP4	MMRN2	12.0
GATA5	HOXA7	12.0
NR1H2	CSAG1	12.0
MAX	PLAC9	12.0
SOX10	SYT16	12.0
POU5F1B	SFT2D2	12.0
SP4	NCAM2	12.0
GATA2	PADI1	12.0
ZSCAN16	COTL1	12.0
RARG	TOGARAM2	12.0
SP1	DAPK1	-12.0
FOXJ3	BUB1B	12.0
WT1	IGFBPL1	12.0
GATA2	LAMA3	12.0
OVOL1	CATSPER1	-12.0
MYPOP	TMEM97	12.0
GATA2	IQUB	12.0
GATA2	ATP1B2	12.0
GATA4	SOX11	-12.0
NFE2L1	IQUB	-12.0
NFAT5	TRPA1	12.0
PAX6	PPP2R2C	12.0
ZBTB7B	MYT1	12.0
SP1	KLHL3	12.0
SP4	C3orf18	12.0
MAF	BMP3	12.0
TGIF1	KLK10	12.0
SP1	ASPM	-12.0
MYPOP	NDUFB9	12.0
SP4	TAS1R3	-12.0
HNF4G	CXCL17	12.0
ARNTL	TRPV3	12.0
SP3	MFSD2B	-12.0
PPARG	ALDH3A1	12.0
SP1	DCLK1	12.0
AHR	MSH2	-12.0
YBX1	LPL	-12.0
EHF	DAPP1	12.0
MAF	FREM2	-12.0
ZNF148	CST4	12.0
SMAD4	LY6K	12.0
GATA2	SLC12A8	-12.0
SP4	FBXL13	-12.0
STAT5B	GALNT14	12.0
BATF	C1orf186	12.0
SP1	AMOTL2	12.0
MAF	EFCAB12	12.0
YBX1	SH3GL3	12.0
SP1	DNER	-12.0
EHF	RARRES1	12.0
POU5F1B	PPM1E	12.0
YBX1	CCNA1	12.0
SP4	VAX2	12.0
AHR	GRIN2D	12.0
YBX1	ROS1	12.0
STAT2	TRIM15	12.0
SOX17	ANKRD7	12.0
MNT	BPI	12.0
