regulator	target	bootstraps
MAF	CLIC5	17.0
LHX1	SIK2	17.0
MYCN	NUP93	17.0
AHR	NHSL2	-17.0
YBX1	ELOC	17.0
GATA4	CFL2	17.0
HOXB3	MYCT1	-17.0
PLAGL1	TIGD5	17.0
GATA2	NOVA1	17.0
CTCF	GPC3	17.0
CTCF	ADCY5	17.0
FOXA1	ISM1	17.0
CTCF	KIF20A	-17.0
MAF	TRPC6	17.0
ARNTL	STAT5B	-17.0
GATA4	SCARA5	17.0
CTCF	ALDH1A1	17.0
ARNTL	MELK	17.0
CTCF	MYOZ3	17.0
HOXD4	TLL1	17.0
NFYB	DDX49	17.0
GATA4	DYNC2H1	17.0
MYPOP	ELOC	17.0
GATA3	STC2	17.0
TCF3	HOXD8	17.0
TFAP2A	RANGAP1	17.0
GATA2	CEP120	17.0
GATA5	SECTM1	-17.0
HOXC8	CD34	17.0
IRF6	SLC6A9	17.0
GATA3	SIK2	17.0
DLX3	ACTA2	17.0
MAF	DNMT3A	-17.0
HOXC8	EDNRB	17.0
SOX17	ACP7	17.0
YBX1	MCM2	17.0
GATA3	NEGR1	17.0
PITX2	SOX17	-17.0
PITX2	SERP2	-17.0
E2F7	IMPDH1	-17.0
ATF6	SGK2	-17.0
PITX2	ATAD5	17.0
GATA2	ZEB1	17.0
HOXD4	CRYBG3	17.0
MYCN	LMNB2	17.0
GATA2	GFRA1	17.0
MYPOP	KLHL29	-17.0
FOXA1	AR	17.0
GATA5	MEGF9	17.0
ELF1	PTP4A3	-17.0
REL	TAPBP	17.0
MAF	SLC19A3	17.0
ARNTL	SLC14A1	-17.0
GATA2	ANO6	17.0
E2F5	KNTC1	17.0
LHX1	KLHL3	17.0
CTCF	SLC35A2	-17.0
GATA2	DYNC2H1	17.0
MYCN	RRP36	17.0
MYCN	SNRPC	17.0
CTCF	HRASLS	-17.0
PITX2	ZFP69B	17.0
CTCF	CEP85	-17.0
GATA4	KLHL29	17.0
YBX1	POLA2	17.0
CTCF	TMEM255A	17.0
ZEB1	RAB25	17.0
KLF5	ATP6V0B	17.0
GATA5	P2RY6	-17.0
MAF	STK32B	17.0
PITX2	EPRS	17.0
GATA2	CDCA2	-17.0
GATA4	ST6GALNAC3	17.0
E2F5	ATAD5	17.0
PITX2	SUV39H2	17.0
GATA3	CYBRD1	17.0
MYCN	SUV39H2	17.0
TCFL5	BRI3BP	17.0
MAF	GPR156	-17.0
MAF	SOCS3	17.0
TCFL5	TIMELESS	17.0
GATA2	PRKG1	17.0
MYCN	BOP1	17.0
GATA5	CSTB	-17.0
CTCF	DONSON	-17.0
YBX1	MYOM1	-17.0
LHX1	FOXN3	17.0
HOXB3	ZMYND19	17.0
RUNX2	EZH1	17.0
CTCF	C1orf115	17.0
E4F1	EGR1	17.0
FOXA1	MAMDC2	17.0
IRF9	CCL5	17.0
PROX1	NCAPH	17.0
ARNTL	TMEM144	-17.0
TGIF2	HLF	17.0
GATA3	TTLL4	-17.0
CTCF	GRPR	17.0
CTCF	DRD1	17.0
FOXA1	IRS1	17.0
ZSCAN4	NAXE	-17.0
MYCN	WDR4	17.0
MYCN	HGH1	17.0
PLAGL1	FAM58A	17.0
HOXD4	GIPC2	17.0
STAT1	KCNK5	-17.0
TCF4	BICDL1	17.0
CTCF	TSEN54	-17.0
MAF	GPX3	17.0
CTCF	CCDC85A	17.0
HOXB5	RGS10	-17.0
CTCF	POLR2F	-17.0
GATA5	NR3C2	17.0
NR2C1	BORA	17.0
MAF	CHRDL1	17.0
PLAGL1	C1orf159	17.0
CTCF	LPAR2	-17.0
ZNF148	COL1A1	17.0
TCF3	SLC7A8	17.0
MAF	SFT2D2	-17.0
CTCF	LPL	17.0
CTCF	ALPK3	17.0
MAF	GRIA1	17.0
IRF9	FAM26F	17.0
CTCF	FLVCR1	-17.0
MAF	ADGRD1	17.0
GATA2	APOBEC3B	-17.0
ARNTL	HTATIP2	17.0
CTCF	TFPI	17.0
ETV1	STS	-17.0
CTCF	ACVR1C	17.0
PLAGL1	P3H4	17.0
MAF	MT1A	17.0
IRF6	EFNA1	17.0
MAF	SMARCA4	-17.0
ETV1	C19orf48	17.0
YBX1	NEK10	-17.0
FOXA1	C7	17.0
GATA3	AFF3	17.0
