Regulator	Target	Weight
Klf10	Myo1f	1.0
Runx2	Myo1f	1.0
Runx2	Nags	1.0
Ets1	Ndrg1	1.0
Klf10	Ndrg1	1.0
Runx2	Ndrg1	1.0
Klf10	Ndufv3	1.0
Rora	Ndufv3	1.0
Rorc	Ndufv3	1.0
Runx2	Neb	1.0
Batf	Nfil3	1.0
Fosl2	Nfil3	1.0
Hif1a	Nfil3	1.0
Klf10	Nfil3	1.0
Rora	Nfil3	1.0
Rorc	Nfil3	1.0
Klf10	Nfkb2	-1.0
Nfkb2	Nfkb2	2.0
Nfkbia	Nfkb2	2.0
Nfkbib	Nfkb2	2.0
Nfkbid	Nfkb2	2.0
Osr2	Nfkb2	1.0
Sp6	Nfkb2	1.0
Eomes	Nfkbia	1.0
Klf10	Nfkbia	-1.0
Nfkb2	Nfkbia	2.0
Nfkbia	Nfkbia	2.0
Nfkbib	Nfkbia	2.0
Nfkbid	Nfkbia	2.0
Sp6	Nfkbia	1.0
Klf10	Nfkbib	-1.0
