regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior	precision	recall
sigB	yuzA	20.0	20.0	0.965833347944	0.998258435022	1	0.882978723404	0.22311827957
glnL	glnT	20.0	20.0	0.964973124235	0.998256716485	1	0.88315629742	0.223502304147
sigB	ydaG	20.0	20.0	0.964106425096	0.998256601916	1	0.883333333333	0.223886328725
sigW	yuaF	20.0	20.0	0.969229911387	0.998256143639	1	0.883509833585	0.224270353303
sigB	yfkJ	20.0	20.0	0.968826923125	0.998255685363	1	0.883685800604	0.22465437788
licR	licC	20.0	20.0	0.959650332787	0.998253050274	1	0.883861236802	0.225038402458
spoIVCB	ytdA	20.0	20.0	0.963081997598	0.998248925786	0	0.882530120482	0.225038402458
sigW	ydbT	20.0	20.0	0.962247921384	0.998248811217	1	0.882706766917	0.225422427035
manR	manP	20.0	20.0	0.961753251363	0.998245946989	1	0.882882882883	0.225806451613
xpf	xlyA	20.0	20.0	0.962404743651	0.998243655607	0	0.88155922039	0.225806451613
sigW	yuaG	20.0	20.0	0.969498904852	0.998238843704	1	0.881736526946	0.22619047619
arsR	arsB	-20.0	20.0	0.971765612707	0.998236437753	-1	0.881913303438	0.226574500768
sigB	aldY	20.0	20.0	0.9620332704	0.998235750339	1	0.882089552239	0.226958525346
fur	yhfQ	-20.0	20.0	0.963516796146	0.998235406631	-1	0.882265275708	0.227342549923
ccpA	araM	-20.0	20.0	0.966039881146	0.998230823867	-1	0.88244047619	0.227726574501
fadR	etfB	-20.0	20.0	0.971254770429	0.998225668257	-1	0.882615156018	0.228110599078
fadR	ykuF	-20.0	20.0	0.971472992561	0.998224178859	-1	0.882789317507	0.228494623656
sigG	yflN	20.0	20.0	0.962828155384	0.998216961005	0	0.881481481481	0.228494623656
sigB	ygxB	20.0	20.0	0.961845183654	0.998216846436	1	0.881656804734	0.228878648233
kipR	kipI	-20.0	20.0	0.966109236746	0.998213065656	-1	0.881831610044	0.229262672811
spoIVCB	yjzB	20.0	20.0	0.955443115608	0.998211117981	0	0.880530973451	0.229262672811
rocR	rocE	20.0	20.0	0.956275170072	0.998210545135	1	0.880706921944	0.229646697389
sigE	ylbJ	20.0	20.0	0.9573150447	0.99820859746	1	0.880882352941	0.230030721966
sigG	lytH	20.0	20.0	0.958705258979	0.998206993493	0	0.879588839941	0.230030721966
sigG	ypzI	20.0	20.0	0.97328045884	0.998206764355	0	0.878299120235	0.230030721966
licR	licB	20.0	20.0	0.962379342504	0.998203212712	1	0.878477306003	0.230414746544
resD	albE	20.0	20.0	0.967239459944	0.998195765721	1	0.87865497076	0.230798771121
sigW	yuaI	20.0	20.0	0.971431048695	0.998194963737	1	0.878832116788	0.231182795699
sigW	yxjI	20.0	20.0	0.966291118729	0.998193130631	1	0.879008746356	0.231566820276
sigD	hemAT	20.0	20.0	0.962544861971	0.998192901493	1	0.879184861718	0.231950844854
ganR	ganA	-20.0	20.0	0.964828652199	0.998191755802	-1	0.879360465116	0.232334869432
sigG	ytzC	20.0	20.0	0.97286847611	0.99818946442	0	0.878084179971	0.232334869432
fur	ydbN	-20.0	20.0	0.961195958942	0.998184652517	-1	0.878260869565	0.232718894009
sinR	epsO	-20.0	20.0	0.959929501765	0.998182131997	-1	0.878437047757	0.233102918587
arsR	arsC	-20.0	20.0	0.960267565891	0.998180986306	-1	0.878612716763	0.233486943164
sigE	ykvI	20.0	20.0	0.970857383547	0.99817789294	1	0.878787878788	0.233870967742
sinR	epsF	-20.0	20.0	0.960882961913	0.99817537242	-1	0.878962536023	0.23425499232
sinR	yqxM	-20.0	20.0	0.96367945264	0.998170445948	-1	0.879136690647	0.234639016897
sigL	bcd	20.0	20.0	0.964359542174	0.99816895655	1	0.879310344828	0.235023041475
sinR	epsH	-20.0	20.0	0.953112729137	0.998168154566	-1	0.879483500717	0.235407066052
ydiH	lctP	-20.0	20.0	0.96051736773	0.998164259216	-1	0.879656160458	0.23579109063
sigF	ypzH	20.0	20.0	0.971182383718	0.998162426111	0	0.878397711016	0.23579109063
lmrA	yxaH	-20.0	20.0	0.956394404754	0.998162426111	-1	0.878571428571	0.236175115207
paiB	paiA	20.0	20.0	0.956479603679	0.998157614208	0	0.877318116976	0.236175115207
spo0A	yttP	20.0	20.0	0.954921533788	0.998153031444	1	0.877492877493	0.236559139785
sigG	ydhU	20.0	20.0	0.972585641093	0.998152344029	0	0.876244665718	0.236559139785
sigL	bkdAA	20.0	20.0	0.958913364968	0.998151885753	1	0.876420454545	0.236943164363
frlR	yurJ	-20.0	20.0	0.95758400461	0.998151542046	0	0.875177304965	0.236943164363
resD	albF	20.0	20.0	0.966411226224	0.998148563249	1	0.875354107649	0.23732718894
ccpC	citB	-20.0	20.0	0.960680011846	0.998147875834	-1	0.875530410184	0.237711213518
sinR	epsI	-20.0	20.0	0.956374545505	0.998146730143	-1	0.875706214689	0.238095238095
pucR	pucK	20.0	20.0	0.994671762055	0.998145469883	1	0.875881523272	0.238479262673
sigB	ykgA	20.0	20.0	0.970714071696	0.998138252029	1	0.876056338028	0.23886328725
sigD	lytA	20.0	20.0	0.957871877736	0.998138252029	1	0.876230661041	0.239247311828
xre	xpf	-20.0	20.0	0.966407534143	0.99813435668	0	0.875	0.239247311828
spoIVCB	spsL	20.0	20.0	0.962668304692	0.99812668055	1	0.875175315568	0.239631336406
codY	frlM	-20.0	20.0	0.955572990912	0.998126451412	-1	0.875350140056	0.240015360983
sigD	fliJ	20.0	20.0	0.961323534215	0.998124962013	1	0.875524475524	0.240399385561
ahrC	argI	20.0	20.0	0.956566401023	0.998114650794	1	0.875698324022	0.240783410138
spo0A	spoIIAB	20.0	20.0	0.959354204299	0.998113734241	1	0.875871687587	0.241167434716
sigB	yycD	20.0	20.0	0.961356306393	0.998112932257	1	0.876044568245	0.241551459293
purR	purE	-20.0	20.0	0.958988325181	0.998112130273	-1	0.876216968011	0.241935483871
exuR	yjmF	-20.0	20.0	0.958878586489	0.998108578631	-1	0.876388888889	0.242319508449
sigE	citH	20.0	20.0	0.952201285231	0.998107318371	0	0.875173370319	0.242319508449
sigD	dgcW	20.0	20.0	0.952266047028	0.99810491242	0	0.873961218837	0.242319508449
ccpC	mdh	-20.0	20.0	0.964366043227	0.998103881298	-1	0.874135546335	0.242703533026
sigB	yxnA	20.0	20.0	0.969644213025	0.998103766729	1	0.874309392265	0.243087557604
sigL	levE	20.0	20.0	0.953070936792	0.998103423021	1	0.874482758621	0.243471582181
ahrC	artR	-20.0	20.0	0.956328684205	0.998100673363	0	0.873278236915	0.243471582181
ywcC	slrA	-20.0	20.0	0.954753480357	0.998097923704	-1	0.873452544704	0.243855606759
sigE	spoVB	20.0	20.0	0.958002579453	0.998097694566	1	0.873626373626	0.244239631336
walR	ydjN	20.0	20.0	0.962974373411	0.998090247574	0	0.872427983539	0.244239631336
sigD	motA	20.0	20.0	0.946113493504	0.998090133005	1	0.872602739726	0.244623655914
sigB	yocK	20.0	20.0	0.968266993936	0.998088643607	1	0.872777017784	0.245007680492
sigB	yvaA	20.0	20.0	0.9585704071	0.998087612485	1	0.872950819672	0.245391705069
sigD	yjcP	20.0	20.0	0.954111408549	0.998085435672	1	0.87312414734	0.245775729647
ytrA	ytrB	-20.0	20.0	0.966122545527	0.998084519119	-1	0.873297002725	0.246159754224
fur	ybdZ	-20.0	20.0	0.958870268938	0.998084289981	0	0.872108843537	0.246159754224
sigW	yobJ	20.0	20.0	0.961130232996	0.998080050924	1	0.872282608696	0.246543778802
sigB	mgsR	20.0	20.0	0.958670529013	0.998079936355	1	0.872455902307	0.246927803379
spoIVCB	yrkC	20.0	20.0	0.96611020824	0.998074551607	1	0.872628726287	0.247311827957
yodB	yocJ	-20.0	20.0	0.955299329601	0.998073749623	-1	0.872801082544	0.247695852535
ccpA	yjmF	-20.0	20.0	0.966229423393	0.998071114533	-1	0.872972972973	0.248079877112
liaR	liaI	20.0	20.0	0.963070997161	0.9980664172	1	0.87314439946	0.24846390169
